Hospital Group Name,Hospital,Date,DayGAR,Capacity,ED Beds,Time,Trolleys,Datetime,Hour,DayOfWeek,DayOfMonth,Month,Quarter,WeekOfYear,IsWeekend,IsMonday,IsFriday,Hour_sin,Hour_cos,Day_sin,Day_cos,Month_sin,Month_cos,IsHoliday,IsSummer,IsWinter,IsPeakHour,IsLowHour,Hospital_Code,Lag_ED Beds_1,Lag_ED Beds_2,Lag_ED Beds_3,Lag_ED Beds_4,Lag_ED Beds_5,Lag_ED Beds_6,Lag_ED Beds_7,Rolling_Mean_3_ED Beds,Rolling_Mean_7_ED Beds,Lag_Trolleys_1,Lag_Trolleys_2,Lag_Trolleys_3,Lag_Trolleys_4,Lag_Trolleys_5,Lag_Trolleys_6,Lag_Trolleys_7,Rolling_Mean_3_Trolleys,Rolling_Mean_7_Trolleys,Lag_Capacity_1,Lag_Capacity_2,Lag_Capacity_3,Lag_Capacity_4,Lag_Capacity_5,Lag_Capacity_6,Lag_Capacity_7,Rolling_Mean_3_Capacity,Rolling_Mean_7_Capacity
HSE South West,Cork University Hospital,2023-01-01,Sunday,24,27.0,08:00,31,2023-01-01 08:00:00,8,6,1,1,1,52,1,0,0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0,0,1,0,1,0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
HSE South West,Cork University Hospital,2023-01-01,Sunday,24,87.0,14:00,19,2023-01-01 14:00:00,14,6,1,1,1,52,1,0,0,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0,0,1,0,0,0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,57.0,57.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,25.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
HSE South West,Cork University Hospital,2023-01-01,Sunday,24,119.0,20:00,26,2023-01-01 20:00:00,20,6,1,1,1,52,1,0,0,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0,0,1,1,0,0,87.0,27.0,27.0,27.0,27.0,27.0,27.0,77.66666666666667,77.66666666666667,19.0,31.0,31.0,31.0,31.0,31.0,31.0,25.333333333333332,25.333333333333332,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
HSE South West,Cork University Hospital,2023-01-02,Monday,21,76.0,08:00,33,2023-01-02 08:00:00,8,0,2,1,1,1,0,1,0,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.49999999999999994,0.8660254037844387,1,0,1,0,1,0,119.0,87.0,27.0,27.0,27.0,27.0,27.0,94.0,77.25,26.0,19.0,31.0,31.0,31.0,31.0,31.0,26.0,27.25,24.0,24.0,24.0,24.0,24.0,24.0,24.0,23.0,23.25
HSE South West,Cork University Hospital,2023-01-02,Monday,21,80.0,14:00,31,2023-01-02 14:00:00,14,0,2,1,1,1,0,1,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0.49999999999999994,0.8660254037844387,1,0,1,0,0,0,76.0,119.0,87.0,27.0,27.0,27.0,27.0,91.66666666666667,77.8,33.0,26.0,19.0,31.0,31.0,31.0,31.0,30.0,28.0,21.0,24.0,24.0,24.0,24.0,24.0,24.0,22.0,22.8
HSE South West,Cork University Hospital,2023-01-02,Monday,21,102.0,20:00,33,2023-01-02 20:00:00,20,0,2,1,1,1,0,1,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.49999999999999994,0.8660254037844387,1,0,1,1,0,0,80.0,76.0,119.0,87.0,27.0,27.0,27.0,86.0,81.83333333333333,31.0,33.0,26.0,19.0,31.0,31.0,31.0,32.333333333333336,28.833333333333332,21.0,21.0,24.0,24.0,24.0,24.0,24.0,21.0,22.5
HSE South West,Cork University Hospital,2023-01-03,Tuesday,8,55.0,08:00,52,2023-01-03 08:00:00,8,1,3,1,1,1,0,0,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,0,1,0,1,0,102.0,80.0,76.0,119.0,87.0,27.0,27.0,79.0,78.0,33.0,31.0,33.0,26.0,19.0,31.0,31.0,38.666666666666664,32.142857142857146,21.0,21.0,21.0,24.0,24.0,24.0,24.0,16.666666666666668,20.428571428571427
HSE South West,Cork University Hospital,2023-01-03,Tuesday,8,99.0,14:00,33,2023-01-03 14:00:00,14,1,3,1,1,1,0,0,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,0,1,0,0,0,55.0,102.0,80.0,76.0,119.0,87.0,27.0,85.33333333333333,88.28571428571429,52.0,33.0,31.0,33.0,26.0,19.0,31.0,39.333333333333336,32.42857142857143,8.0,21.0,21.0,21.0,24.0,24.0,24.0,12.333333333333334,18.142857142857142
HSE South West,Cork University Hospital,2023-01-03,Tuesday,8,93.0,20:00,37,2023-01-03 20:00:00,20,1,3,1,1,1,0,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,0,1,1,0,0,99.0,55.0,102.0,80.0,76.0,119.0,87.0,82.33333333333333,89.14285714285714,33.0,52.0,33.0,31.0,33.0,26.0,19.0,40.666666666666664,35.0,8.0,8.0,21.0,21.0,21.0,24.0,24.0,8.0,15.857142857142858
HSE South West,Cork University Hospital,2023-01-04,Wednesday,26,76.0,08:00,46,2023-01-04 08:00:00,8,2,4,1,1,1,0,0,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,0,1,0,1,0,93.0,99.0,55.0,102.0,80.0,76.0,119.0,89.33333333333333,83.0,37.0,33.0,52.0,33.0,31.0,33.0,26.0,38.666666666666664,37.857142857142854,8.0,8.0,8.0,21.0,21.0,21.0,24.0,14.0,16.142857142857142
